property,count,unique_values,common_values,coverage_percentage
date,4683,4679,"Sat May 20 2023 10:22:17 GMT-0400 (Eastern Daylight Time) (2), Tue Aug 25 2020 07:15:30 GMT-0400 (Eastern Daylight Time) (2), Fri Feb 08 2019 11:52:28 GMT-0500 (Eastern Standard Time) (2)...",79.1%
updated_at,4683,4516,"Tue Oct 09 2018 22:33:26 GMT-0400 (Eastern Daylight Time) (5), Tue Oct 09 2018 22:33:23 GMT-0400 (Eastern Daylight Time) (5), Sun Nov 22 2020 10:39:17 GMT-0500 (Eastern Standard Time) (5)...",79.1%
title,4681,4620,"Untitled Note (7), Milo (5), Multi-grain Granola (3)...",79.1%
source,2987,11,"desktop.mac (1589), mobile.android (772), web.clip (207)...",50.5%
longitude,2728,2200,"-73.9673 (48), -73.9672 (33), -73.9671 (27)...",46.1%
latitude,2724,1970,"40.8053 (76), 40.8052978515625 (74), 40.8054 (70)...",46.0%
altitude,2061,1735,"9 (88), 198 (55), 36 (8)...",34.8%
modified,686,672,"Fri May 23 2025 20:00:00 GMT-0400 (Eastern Daylight Time) (9), Wed Jun 04 2025 14:12:17 GMT-0400 (Eastern Daylight Time) (2), Mon May 26 2025 20:00:00 GMT-0400 (Eastern Daylight Time) (2)...",11.6%
url,401,394,"https://mail.google.com/mail/u/0/#inbox/14e1e276d7b62ad2 (2), https://www.bloomberg.com/news/articles/2019-02-08/hedge-fund-founder-jeff-tannenbaum-s-next-act-will-be-green (2), https://mail.google.com/mail/ca/u/0/?ui=2&shva=1#inbox/13cca4fd97b5e813 (2)...",6.8%
domain,161,11,"sharon (95), woodwork (25), code (23)...",2.7%
tags,160,17,"[ 'Sagaponack' ] (25), [ 'quote' ] (22), [ 'Hillary' ] (16)...",2.7%
kind,128,14,"ideas (45), tune (26), recipe (21)...",2.2%
genre,25,6,"jazz (17), pop (2), r&b (2)...",0.4%
status,19,5,"active (15), inactive (1), complete (1)...",0.3%
subdomain,19,9,"AI (5), garden (3), markdown (3)...",0.3%
cuisine,18,7,"Eclectic (6), Italian (5), Homestyle (3)...",0.3%
created,15,4,"Fri May 23 2025 20:00:00 GMT-0400 (Eastern Daylight Time) (10), Mon May 26 2025 20:00:00 GMT-0400 (Eastern Daylight Time) (3), Tue May 03 2022 11:08:15 GMT-0400 (Eastern Daylight Time) (1)...",0.3%
type,14,9,"interview-notes (6), analysis (1), workflow-design (1)...",0.2%
priority,13,4,"2 (6), 3 (3), 1 (3)...",0.2%
kanban-plugin,2,1,basic (2),0.0%
house,1,1,Sharon (1),0.0%
keywords,1,1,"NLP, NER, LLM, AI (1)",0.0%
Google Doc original,1,1,https://docs.google.com/document/d/1n9kxxDpnyOAWeCvjEif9l5yItxET0i24UqTY33MIQ5M/edit (1),0.0%
