name,path,backlinks_count,backlinks
Fly me to the Moon by Sinatra and Basie,/Users/danielseltzer/Notes/Personal-sync-20250616/Music Study/Tune Study/Fly me to the Moon by Sinatra and Basie.md,4,"Music Study/Music Partners and Groups/Neil Shepard Tunes 2025.md, Music Study/Music Partners and Groups/Neil Shepard Tunes Jan 2025.md, Music Study/Music Partners and Groups/Neil Shepard tunes Fall 2024.md, Music Study/Tunes KANBAN.md"
Hillary Gifts 2024,/Users/danielseltzer/Notes/Personal-sync-20250616/Personal/Personal - saved/Hillary Gifts 2024.md,4,"People/Family/2024 Holiday Gifts Planning.md, People/Family/Solstice and Xmas 2024 Schedule and Planning.md, Personal/Personal - saved/2024 Holiday Gifts Planning.md, Personal/Personal - saved/Hillary Birthday Planning 1.md"
Next Time Wing Foiling Stuart Fl 2023,/Users/danielseltzer/Notes/Personal-sync-20250616/Doing/Winging/Winging - saved/Next Time Wing Foiling Stuart Fl 2023.md,3,"Doing/Winging/Spring 2024 Wing Foil Trip.md, Doing/Winging/Wing Foiling Trip Prep and Pack Travel by Air 2024.md, Doing/Winging/Winging - saved/Wing foil trip pack list 2023.md"
Measured Granola Recipe and Variations 2023,/Users/danielseltzer/Notes/Personal-sync-20250616/Making/Food/Measured Granola Recipe and Variations 2023.md,3,"Making/Food/Archived/Granola 12-22-22.md, Making/Food/Archived/Granola 4-15-22.md, Making/Food/Archived/Granola Batch-good 5-31-20.md"
Autumn Leaves,/Users/danielseltzer/Notes/Personal-sync-20250616/Music Study/Tune Study/Autumn Leaves.md,3,"Music Study/Music Partners and Groups/Neil Shepard Tunes 2025.md, Music Study/Music Partners and Groups/Neil Shepard Tunes Jan 2025.md, Music Study/Music Partners and Groups/Neil Shepard tunes Fall 2024.md"
Willow Weep for Me,/Users/danielseltzer/Notes/Personal-sync-20250616/Music Study/Tune Study/Willow Weep for Me.md,3,"Music Study/Music Partners and Groups/Neil Shepard Tunes 2025.md, Music Study/Music Partners and Groups/Neil Shepard Tunes Jan 2025.md, Music Study/Music Partners and Groups/Neil Shepard tunes Summer 2024.md"
CGM food journal Feb 2025,/Users/danielseltzer/Notes/Personal-sync-20250616/Personal/Health/CGM food journal Feb 2025.md,3,"Making/Code/CGM data and diet integration project.md, Making/Creative Ideas/Idea for schema extraction by genai.md, Personal/Health/Stelo CGM Feb 2025.md"
Cape Cod 2023 Pack List,/Users/danielseltzer/Notes/Personal-sync-20250616/Personal/Personal - saved/Cape Cod 2023 Pack List.md,3,"Personal/Personal - saved/Cape Cod 2024 Pack List.md, Personal/Personal - saved/Cape Cod Plan 2024.md, Personal/Personal - saved/Cape Cod Vacation Sep 2023.md"
Food Markets on Cape Cod,/Users/danielseltzer/Notes/Personal-sync-20250616/Personal/Personal - saved/Food Markets on Cape Cod.md,3,"Personal/Personal - saved/Cape Cod 2024 Food Shop Plan.md, Personal/Personal - saved/Cape Cod Food Shop and Pack 2023.md, Personal/Personal - saved/Cape Cod Plan 2024.md"
Wing Foiling Trip Prep and Pack Travel by Air 2024,/Users/danielseltzer/Notes/Personal-sync-20250616/Doing/Winging/Wing Foiling Trip Prep and Pack Travel by Air 2024.md,2,"Doing/Winging/Wing Foil in Providenciales with Winser Dec 2024.md, Doing/Winging/Wing Trip Prep 2025.md"
Westport winging,/Users/danielseltzer/Notes/Personal-sync-20250616/Doing/Winging/Winging - saved/Westport winging.md,2,"Doing/Winging/Westport winging prep.md, Personal/Figure out saddlebags for Bike Friday.md"
Wing foil trip pack list 2023,/Users/danielseltzer/Notes/Personal-sync-20250616/Doing/Winging/Winging - saved/Wing foil trip pack list 2023.md,2,"Doing/Winging/Spring 2024 Wing Foil Trip.md, Doing/Winging/Wing Trip Prep 2025.md"
Bedroom closet improvements,/Users/danielseltzer/Notes/Personal-sync-20250616/Home/Sharon Home/Bedroom closet improvements.md,2,"Making/Woodwork/Simple shelving unit woodwork.md, Sharon House Planning.md"
GE Fridge in Sharon House,/Users/danielseltzer/Notes/Personal-sync-20250616/Home/Sharon Home/GE Fridge in Sharon House.md,2,"Making/3d Printing/3d print freezer shelf holders.md, Sharon House Planning.md"
Tom Watson Work Planning,/Users/danielseltzer/Notes/Personal-sync-20250616/Home/Sharon Home/Tom Watson Work Planning.md,2,"Home/Sharon Home/Sharon House Completed Tasks.md, Sharon House Planning.md"
Batch Edits to Markdown Files Frontmatter,/Users/danielseltzer/Notes/Personal-sync-20250616/Making/Code/Markdown and Obsidian/Batch Edits to Markdown Files Frontmatter.md,2,"Making/Code/Markdown and Obsidian/Improving Obsidian Value.md, Making/Creative Ideas/Typescript Data App Dev.md"
Home Assistant on TrueNAS,/Users/danielseltzer/Notes/Personal-sync-20250616/Making/Digital Home/Home Assistant on TrueNAS.md,2,"Making/Digital Home/AirGradient integration to Home Assistant in Sharon.md, Making/Digital Home/Home Assistant for Sharon House.md"
Hub for non-wifi smart home device protocols,/Users/danielseltzer/Notes/Personal-sync-20250616/Making/Digital Home/Hub for non-wifi smart home device protocols.md,2,"Making/Digital Home/Home Assistant for Sharon House.md, Sharon House Planning.md"
Granola 12-22-22,/Users/danielseltzer/Notes/Personal-sync-20250616/Making/Food/Archived/Granola 12-22-22.md,2,"Making/Food/Measured Granola Recipe and Variations 2023.md, Personal/Personal - saved/Family Gift Ideas.md"
Morning Glory Muffins 2023 updated 2024,/Users/danielseltzer/Notes/Personal-sync-20250616/Making/Food/Morning Glory Muffins 2023 updated 2024.md,2,"Making/Food/Morning Glory Muffin Tops Aug 2024.md, Making/Food/Morning Glory Muffins with Squash.md"
