tag,count,documents,tag_percentage,vault_percentage,_total_docs,_tagged_docs,_untagged_docs,_unique_tags
inbox,81,"Clojure, Washer and dryer for Sharon, Check out Winsers AppScript CRM...",13.8%,1.4%,5920,587,5333,1353
gid,36,"390 RSD Apt Improvements, Sharon House Master List, Measured Granola Recipe and Variations 2023...",6.1%,0.6%,5920,587,5333,1353
1,30,"Clojure, MeshEd Collective Meeting 1-11-23-21, Check out MTA APIs for subway times...",5.1%,0.5%,5920,587,5333,1353
[ 'sagaponack' ],25,"Carpenter Bee holes, Cw arborists, Fix Sag house Rear screen door...",4.3%,0.4%,5920,587,5333,1353
search,22,"Repair the go foils, DIY SpO2 Night Monitoring, AirGradient DIY Pro unit...",3.7%,0.4%,5920,587,5333,1353
[ 'quote' ],22,"Chris Quote-Boot2docker is like the movie Inception, Chris on weighted averages 5-22-18, Do you want me not to let you finish...",3.7%,0.4%,5920,587,5333,1353
5,17,"Phuong visit 3-12-22, Music Study Week of 12-6-21, Cardenas Lesson 1-19-22...",2.9%,0.3%,5920,587,5333,1353
[ 'hillary' ],16,"Idea for emotional message board game, Art that Hillary likes, Hillary Topics-1...",2.7%,0.3%,5920,587,5333,1353
2,15,"Clojure, Check out MTA APIs for subway times, Homemade mouthwash...",2.6%,0.3%,5920,587,5333,1353
,15,"HoFi Raw Data Collection 2019, Check out MTA APIs for subway times, Help Hillary Optimize Commute...",2.6%,0.3%,5920,587,5333,1353
9,15,"Music Study Week of 12-6-21, Cardenas Lesson 1-5-22, Cardenas Lesson 11-10-21...",2.6%,0.3%,5920,587,5333,1353
[ 'eva' ],15,"Dr Talonis, Eva Care Monday 5-4-20, Eva Psych Care...",2.6%,0.3%,5920,587,5333,1353
[ 'read' ],14,"Books to Read-Reading List, Gautams programming book recommendations, Evolution book recommendation from Donald...",2.4%,0.2%,5920,587,5333,1353
3,12,"Homemade mouthwash, Working on Whatever with Jonah, Julian Lage Masterclass on Improvisation and Composition 5-9-20...",2.0%,0.2%,5920,587,5333,1353
[ 'music' ],12,"Aaron Diehl Trio, Cannonball adderley money in the pocket, Check out Elbow band from DW...",2.0%,0.2%,5920,587,5333,1353
comments,11,"Pan Seared Oven Roasted Strip Steak  101 Cooking For Two, Toor dal recipe  Arhar ki dal recipe  Punjabi arhar dal, beeswax salve for wood...",1.9%,0.2%,5920,587,5333,1353
[ 'milo' ],10,"Milo 12-5-18, Milo National Portfolio Day Info, Milo money...",1.7%,0.2%,5920,587,5333,1353
[ 'knee' ],9,"Rehab Achilles Tendonopathy at home, Duke Exercises for Knee, Knee after L2-L4 injections...",1.5%,0.2%,5920,587,5333,1353
[ 'joyce' ],9,"Begin Application for Isadore Medicaid Eligibility, Help mom get old papers shredded, Helping Mom 5-18-15...",1.5%,0.2%,5920,587,5333,1353
4,8,"Basement Ideas for Sharon House, Cardenas Lesson 3-21-22, Canteloupe Island study...",1.4%,0.1%,5920,587,5333,1353
[ 'isaac' ],8,"Discuss Academics with Isaac after first year, Isaac Living Costs at Skidmore, Isaac points...",1.4%,0.1%,5920,587,5333,1353
[ 'leila' ],7,"Give Public Theater Gift Certificate-from Rosalie-to Leila, Leila College Thoughts, Leila Law topics...",1.2%,0.1%,5920,587,5333,1353
heading,7,"Milo College Planning, Thanksgiving 2022, Second Home Search...",1.2%,0.1%,5920,587,5333,1353
p-search,7,"OODA loop-Wikipediaundefined the free encyclopedia, Design thinking-Wikipedia, Efficient frontier-Wikipedia...",1.2%,0.1%,5920,587,5333,1353
cite_note-1,7,"OODA loop-Wikipediaundefined the free encyclopedia, Design thinking-Wikipedia, Efficient frontier-Wikipedia...",1.2%,0.1%,5920,587,5333,1353
cite_ref-1,7,"OODA loop-Wikipediaundefined the free encyclopedia, Design thinking-Wikipedia, Efficient frontier-Wikipedia...",1.2%,0.1%,5920,587,5333,1353
7,6,"Cardenas Lesson 4-18-22, Music Work List, Jesus is Waiting guitar breakdown...",1.0%,0.1%,5920,587,5333,1353
cite_note-2,6,"OODA loop-Wikipediaundefined the free encyclopedia, Design thinking-Wikipedia, Efficient frontier-Wikipedia...",1.0%,0.1%,5920,587,5333,1353
cite_ref-2,6,"OODA loop-Wikipediaundefined the free encyclopedia, Design thinking-Wikipedia, Efficient frontier-Wikipedia...",1.0%,0.1%,5920,587,5333,1353
inboxmailto,5,"Clojure, Benson lesson II-V-I notes, Cease the bombing...",0.9%,0.1%,5920,587,5333,1353
